BCI-AV#	Blissymbol	English	Char	Char	5350	1497	212	34	4	1
13370		biomass,biofuel		14412	16196					
13371		coat,jacket		13366	15948					
13372		coconut		14405						
13373		coffee		13882	12642					
13374		coin		13685	15484					
13375		cold		25533	8998					
13376		cold_(opposite_hot)		15927	14901	8998				
13377		colour		14133	13901					
13378		comb	Y							
13379		comb		13379	8993					
13380		combination,connection	Y	16690	16690					
13381		combine,connect,link		13380	8993					
13382		combine_marker	Y	16690	16690					
13383		come,approach		12407	8993					
13384		comet	Y	17252	13627					
13385		comfort,console		14440	15981	8993				
13386		comfortable,restful		16496	8998					
13388		commandments	Y							
13389		communicate		13390	8993					
13390		communication		25555	15441					
13391		compare		15908	16713	8993				
13392		compete,race		13392	8993					
13393		composer		16161	17953					
13394		computer_(OLD)		15406	15471					
13395		conception,fertilization,fertilized_egg	Y	17226						
13396		concert_hall		14905	15679					
13397		concrete,cement		13365	16188	15420				
13398		condom		12631	15414					
13399		conductor_(music)_(OLD)		16161	23137	15682				
13400		cone	Y							
13401		conscience	Y	15471	15471					
13402		considerate,thoughtful		24880	8998					
13403		container,bowl,holder,pouch,basket	Y							
13404		continue,pass		24881	8993	8993				
13405		uterine_contraction		18274	17994					
13406		contrast		15908	13675	8993				
13407		control_oneself		16754	8993					
13408		cook		14183	14377	8993				
13409		cookie,biscuit		13685	17479					
13410		cool,chilly		13375	15221	8998				
13411		cool,chilly_(opposite_warm)		15927	18037	8998				
13412		copy,duplicate	Y	16487	9009					
13413		corn	Y	18007	13867	13867	13867			
13414		corner_(room)	Y	16687	26059					
13415		cornmeal		16233	13413					
13416		correct,accurate,good,right		21341	8998					
13417		cost,price		15484	14381	17717				
13418		costume,disguise		13366	16247					
13419		couch,chesterfield,sofa	Y							
13420		cough		12863	14947	8993				
13421		counsellor,adviser		16161	17455	14704				
13422		count		15742	8993					
13423		country,state	Y	14193	13901					
13424		countryside,country,nature	Y	17775	13901					
13425		couple_(heterosexual)	Y	15416	18269					
13426		couple_(two_persons)		16161	16161					
13427		family,couple	Y	15416	16420	18269				
13428		court,field_(OLD)		16193	17234					
13429		cousin		15912		15968				
13430		cow		12379	14165					
13431		craft		15420	14667					
13432		cramp,spasm		15954	20517					
13433		cranberry		12666	17472					
13434		crane		15406	20524					
13435		crash_(forward)		13935	14947					
13436		crash_(downward)		13436	8993					
13437		crash_(air),plane_crash,air_crash_(OLD)		13436	12357					
13438		crash_(car),car_crash_(OLD)		13439	13121					
13439		crash_(forward)		13439	8993					
13440		crash_(downward)		24422	14947					
13603		crawl		16162	14390	8993				
13604		crayon,coloured_pencil,marker		15991	13377					
13605		cream		15468	14947					
13606		create		13607	8993					
13607		creation,nature	Y							
13608		creative		13607	8998					
13609		creature,being	Y	15206	9009					
13610		crescent		16940						
13611		crochet		15410	13365	14673	8993			
13612		croquet_(activity)		12335	12621	14666				
13613		cross,Christianity_(in_combinations)	Y							
13614		cross		12333	8993					
13615		crotch	Y	12870	26059					
13616		crush,squeeze		25534	8993					
13617		crutches		17755	15446	18031	9011			
13618		cry,weep		14133	16456	8993				
13619		crystal	Y	17717						
13620		cucumber		18007	15229					
13621		mug,cup	Y							
13622		cupboard,closet,wardrobe	Y							
13623		currant(s)	Y							
13624		current		15736	8998					
13625		current_events		14114	15736	9011				
13626		curtain(s),drape(s)	Y							
13627		curve,curved_line	Y							
13628		cut_(scissors)		16736	8993					
13629		cut_(knife)		15159	8993					
13630		cutlery		14430	15159					
13631		dance		24853	8993					
13632		danger	Y	13607	14947					
13633		dangerous		13632	8998					
13634		dark_(OLD)		15927	15208	8998				
13635		date_(man_woman)		15449	15416	18269				
13636		date_(two_persons)		15449	16161	16161				
13637		date_(fruit)		15960						
13638		daughter	Y	16420	14165					
13639		day	Y	17462	13901					
13640		daycare		16420	13639					
13641		day_care_centre		14905						
13642		dead,deceased		13645	8996					
13643		deaf		25543	8998					
13644		dear		14164	17739					
13645		death	Y	15206	13665					
13646		decade		8497	8496	18289				
13647		December		15649						
13648		decide		13649	8993					
13649		decision	Y	17718	17268					
13650		decoration_(OLD)		17717	12374	12645				
13651		decrease,reduce		15221	8993					
13652		deep		25546	8998					
13653		deep-fry		14411	14947	8993				
13654		Denmark_(OLD)		13423	25623					
13655		toothpick		15216	17517	9009				
13656		dentist		13861	17517					
13657		deodorant		13158	12351	17017				
13658		departure	Y	15214	14390					
13659		depression		15650	14142		14947			
13660		descend,go_down		13869	8993					
13661		describe		16728	25379	8993				
13662		desirable		18035	8997					
13663		desk,worktable,work_table		17493	18274					
13664		dessert		14377	13935					
13665		destroy,annul,cancel,cross_out,delete		24883	8993					
13666		develop		28012	8993					
13667		development_(OLD)	Y	13151	14390					
13668		dhoti,lungi		13366	12580	15416				
13669		diamond_(shape),rhombus,rhomb		16940	25549					
13670		diaper,nappy		12325	25531					
13671		diaphragm_(contraceptive),pessary		12631	14165					
13672		die		13645	8993					
13673		diet		16194	13906					
13674		diet		13906	16194	8993				
13675		different,other,difference	Y	13665	16713					
13676		difficult,hard		24884	8998					
13677		dig		25550	8993					
13678		digest		13679	8993					
13679		digestion		14377	17724					
13680		dining_room		16687	13906					
13681		dinosaur_(OLD)		12388	15975					
13682		direction,cardinal_point		14430	14390					
13683		dirty,soiled		15671	17236	8998				
13684		disability,handicap,impairment_(OLD)		12322	15213					
13685		disc,disk	Y							
13686		disco		14427	16470					
13687		discomfort	Y	13385	13665					
13688		discuss,converse,debate		13689	8993					
13689		discussion,conversation,debate,chat		16728	12610					
13690		dish,plate,platter	Y							
13691		dislike		14164	15733					
13692		dislike		13692	8993					
13694		divide		13857	8993					
13857		division	Y							
13858		divorce		15425	13857					
13859		divorce		13859	8993					
13860		do,act		12334	8993					
13861		doctor,physician		16161	15446					
13862		doll		13166	15420					
13863		dollar	Y							
13864		dolphin,porpoise,water_mammal_(with_tail)	Y							
13865		donkey,mule		14897	18274					
13866		door	Y							
13867		dot	Y							
13868		doubt		22911	8993					
13869		down,downward	Y	21852						
13870		downward_and_backward	Y	21852						
13871		downward_and_forward	Y	21852						
13872		drain,sift,strain		16976	8993					
13873		draw,sketch		15991	16172	8993				
13874		drawer	Y	13162	26059					
13875		dream		17718	17008	8993				
13876		dress		13366	18269					
13877		dress,wear		13366	8993					
13878		dress_up,disguise		13418	8993					
13879		dressing_gown,housecoat,robe		13366	13385					
13880		dried_bean_(OLD)		12642	23857					
13881		drink,beverage	Y	18209	14377					
13882		drink		13882	8993					
13883		drive		13121	8993					
13884		driver,chauffeur		16161	13121					
13885		dromedary	Y	12378						
13886		drunk			12359	8998				
13887		dry_(OLD)		15927	18226	8996				
13888		dry_(OLD)		13135	23857	8993				
13889		duck_(food)		14377	12840					
13890		dump_truck,dumper,tipper_lorry,tipper		17781						
13891		Durga		14451	8497	8496	14667			
13892		during,while	Y	15212						
13893		each,every		8497	12360					
13894		ear	Y							
13895		ear_mold	Y	17717	13894					
13896		early		12656	17732	8998				
13897		earmuffs_(protection)		16420	13894					
13898		earn		18274	14381	15484				
13899		earphones,headphones		24889	13918					
13900		earth,globe,world	Y							
13901		earth,ground,land	Y							
13902		east	Y	17462	26059					
13903		easter		13639	16676	14969				
13904		eastern		13902	8998					
13905		easy_(OLD)		15927	13676	8998				
13906		eat		14377	8993					
13907		edge	Y	17493	26059					
13908		education		14118	15162					
13909		eel		14190	17189					
13910		effect,result	Y	16480						
13911		egg,ovum_(1)		16749	15206					
13912		egg,ovum_(2)	Y							
13913		eggplant,aubergine,brinjal		18007	16436					
13914		either	Y							
13915		ejaculation		13944	17226	14947				
